month,Total_crimes,Serious,Huge_damage,Ecological,Terrorism,Extremism,Murder,Harm_to_health,Rape,Theft,Vehicle_theft,Fraud_scam,Hooligan,Drugs,Weapons
01.06.2004,256948.0,80591.0,8562.0,3965.0,504.0,12.0,2680.0,4547.0,840.0,109535.0,7039.0,12788.0,2136.0,8190.0,2500.0
01.07.2004,231752.0,69486.0,7424.0,2428.0,358.0,11.0,2446.0,4676.0,804.0,107785.0,7047.0,9333.0,2003.0,8357.0,2185.0
01.08.2004,243138.0,76166.0,31102.0,2601.0,302.0,17.0,2569.0,4682.0,888.0,111705.0,7176.0,9589.0,1990.0,10707.0,2091.0
01.09.2004,254352.0,80586.0,14791.0,2875.0,987.0,15.0,2481.0,4480.0,875.0,112870.0,6946.0,11300.0,2050.0,11358.0,2351.0
01.10.2004,250393.0,78516.0,12349.0,2448.0,1086.0,4.0,2633.0,4895.0,763.0,119447.0,7435.0,9362.0,1914.0,9931.0,2018.0
01.11.2004,240788.0,76218.0,12795.0,2259.0,675.0,9.0,2708.0,4548.0,633.0,113004.0,5779.0,9453.0,1811.0,10662.0,1973.0
01.12.2004,245234.0,73945.0,12474.0,2053.0,549.0,23.0,2474.0,4310.0,602.0,118306.0,5020.0,9886.0,1745.0,10133.0,2153.0
01.01.2005,226573.0,79447.0,14496.0,1694.0,428.0,8.0,2457.0,5021.0,576.0,93497.0,3928.0,12677.0,1643.0,10135.0,2254.0
01.02.2005,245170.0,80787.0,16090.0,1843.0,470.0,8.0,2428.0,4226.0,496.0,100445.0,3781.0,13149.0,1639.0,13223.0,3028.0
01.03.2005,287104.0,94954.0,19415.0,1968.0,602.0,15.0,3029.0,4877.0,653.0,114029.0,4367.0,16648.0,2186.0,16612.0,3263.0
01.04.2005,262967.0,80923.0,15789.0,2513.0,535.0,8.0,2677.0,4563.0,602.0,111666.0,4941.0,13957.0,2080.0,13667.0,2754.0
01.05.2005,289533.0,89347.0,16071.0,4646.0,557.0,13.0,3099.0,5578.0,786.0,123775.0,5858.0,14726.0,2134.0,14803.0,2962.0
01.06.2005,332167.0,98505.0,20561.0,3853.0,365.0,13.0,2700.0,5091.0,1010.0,145137.0,7047.0,17672.0,2267.0,17116.0,2853.0
01.07.2005,302965.0,87499.0,16579.0,2802.0,255.0,10.0,2414.0,5029.0,884.0,141283.0,6632.0,14325.0,2893.0,14206.0,2107.0
01.08.2005,326263.0,95231.0,18039.0,2688.0,294.0,23.0,2523.0,5246.0,1027.0,152218.0,6908.0,14295.0,2945.0,16292.0,2074.0
01.09.2005,330848.0,98196.0,20602.0,3432.0,397.0,7.0,2384.0,4812.0,910.0,147535.0,6780.0,17304.0,2819.0,16111.0,2348.0
01.10.2005,322364.0,92091.0,16924.0,3170.0,521.0,3.0,2377.0,4910.0,817.0,151516.0,6934.0,15221.0,2836.0,14528.0,1947.0
01.11.2005,310280.0,89826.0,17049.0,2711.0,480.0,16.0,2340.0,4043.0,797.0,144291.0,5581.0,14276.0,2577.0,14125.0,2113.0
01.12.2005,318504.0,90182.0,17361.0,2171.0,534.0,28.0,2421.0,4467.0,664.0,147604.0,4789.0,15303.0,2646.0,14423.0,2205.0
01.01.2006,269142.0,86270.0,17850.0,1905.0,292.0,13.0,2157.0,4896.0,571.0,106875.0,3401.0,17030.0,2236.0,14091.0,2180.0
01.02.2006,300640.0,91737.0,19948.0,2142.0,428.0,23.0,2234.0,4165.0,655.0,120426.0,3614.0,19611.0,2040.0,16427.0,2774.0
01.03.2006,359098.0,108299.0,25767.0,2706.0,339.0,31.0,2751.0,4583.0,712.0,142738.0,4605.0,24336.0,2731.0,20646.0,3202.0
01.04.2006,324128.0,92729.0,22200.0,3552.0,15.0,40.0,2649.0,4317.0,705.0,136359.0,4802.0,20871.0,2646.0,18178.0,2558.0
01.05.2006,346939.0,94654.0,23141.0,6692.0,102.0,23.0,2545.0,4710.0,826.0,145871.0,6300.0,20520.0,2967.0,18220.0,3017.0
01.06.2006,350391.0,93142.0,26357.0,5965.0,63.0,17.0,2342.0,4181.0,867.0,147652.0,6303.0,21061.0,2789.0,19412.0,3176.0
01.07.2006,312959.0,80774.0,21742.0,3435.0,76.0,2.0,2044.0,4217.0,787.0,143406.0,6376.0,17601.0,2412.0,16962.0,2164.0
01.08.2006,333568.0,90204.0,23851.0,3457.0,105.0,18.0,2443.0,4360.0,915.0,153394.0,4856.0,17755.0,2371.0,19163.0,2333.0
01.09.2006,325988.0,89200.0,24683.0,3475.0,76.0,18.0,2192.0,4422.0,799.0,145611.0,8251.0,19273.0,2092.0,19065.0,2513.0
01.10.2006,325525.0,85901.0,22757.0,3605.0,81.0,26.0,2129.0,4177.0,730.0,152793.0,6248.0,16153.0,2259.0,17356.0,2029.0
01.11.2006,295472.0,79782.0,21133.0,2723.0,65.0,20.0,1944.0,3823.0,603.0,134973.0,5010.0,15195.0,2023.0,16255.0,2257.0
01.12.2006,311523.0,81809.0,20042.0,2226.0,139.0,32.0,2032.0,3578.0,701.0,146885.0,4769.0,15920.0,2079.0,16244.0,1852.0
01.01.2007,298668.0,90049.0,24342.0,2223.0,136.0,10.0,1975.0,4689.0,511.0,121315.0,3789.0,19140.0,1956.0,17799.0,2639.0
01.02.2007,291377.0,84840.0,25294.0,2325.0,46.0,19.0,1745.0,3573.0,503.0,117318.0,3511.0,19838.0,1627.0,19495.0,2965.0
01.03.2007,326890.0,95817.0,29475.0,3104.0,93.0,18.0,2180.0,3944.0,544.0,128731.0,4211.0,23048.0,1785.0,22928.0,3434.0
01.04.2007,298721.0,80934.0,24502.0,4000.0,15.0,33.0,2174.0,4152.0,568.0,124704.0,4611.0,18297.0,1920.0,19606.0,2523.0
01.05.2007,322901.0,82735.0,25576.0,6822.0,65.0,35.0,2062.0,4281.0,652.0,136884.0,5700.0,19370.0,2117.0,20431.0,2767.0
01.06.2007,321660.0,85222.0,28242.0,4567.0,56.0,35.0,1957.0,3677.0,717.0,132373.0,5779.0,20830.0,1797.0,21339.0,3086.0
01.07.2007,299382.0,76627.0,23646.0,3038.0,60.0,32.0,1769.0,4240.0,776.0,138583.0,5664.0,16271.0,1903.0,18234.0,2026.0
01.08.2007,314730.0,82307.0,25445.0,3564.0,76.0,17.0,1671.0,4410.0,714.0,145070.0,5649.0,16865.0,1805.0,20770.0,2009.0
01.09.2007,290252.0,76834.0,26315.0,3785.0,63.0,35.0,1494.0,3656.0,576.0,130782.0,5361.0,16936.0,1469.0,20120.0,2467.0
01.10.2007,295432.0,75955.0,23890.0,3616.0,63.0,30.0,1771.0,4023.0,560.0,142286.0,5868.0,14406.0,1492.0,18635.0,2195.0
01.11.2007,260742.0,65510.0,21097.0,2359.0,46.0,63.0,1701.0,3353.0,498.0,124048.0,4468.0,13185.0,1167.0,16705.0,2089.0
01.12.2007,261786.0,64303.0,20616.0,1839.0,40.0,29.0,1728.0,3350.0,419.0,124876.0,3816.0,13091.0,1322.0,15156.0,2023.0
01.01.2008,259548.0,77871.0,26125.0,2121.0,53.0,31.0,1802.0,4241.0,411.0,102027.0,3088.0,19384.0,1132.0,18745.0,2903.0
01.02.2008,280916.0,80565.0,27123.0,2727.0,56.0,27.0,1733.0,3861.0,463.0,111634.0,3414.0,19366.0,1166.0,20779.0,3099.0
01.03.2008,308072.0,87072.0,31300.0,2867.0,83.0,56.0,1982.0,3874.0,526.0,118538.0,3794.0,21377.0,1382.0,22519.0,3609.0
01.04.2008,286460.0,73174.0,26680.0,4728.0,57.0,40.0,1808.0,3787.0,483.0,120509.0,4420.0,18005.0,1336.0,20225.0,2986.0
01.05.2008,274892.0,68946.0,26410.0,6421.0,59.0,23.0,1705.0,3946.0,521.0,113278.0,4882.0,15652.0,1207.0,19354.0,2689.0
01.06.2008,284683.0,77010.0,28950.0,4934.0,76.0,73.0,1748.0,3559.0,638.0,107557.0,5002.0,20052.0,1274.0,20567.0,2561.0
01.07.2008,258726.0,65170.0,25615.0,3441.0,34.0,40.0,1546.0,3779.0,675.0,113935.0,5060.0,13560.0,1164.0,18962.0,2389.0
01.08.2008,255356.0,65170.0,24800.0,3789.0,42.0,38.0,1543.0,3590.0,542.0,110868.0,5153.0,13188.0,1063.0,19359.0,2556.0
01.09.2008,262319.0,67671.0,27235.0,3715.0,49.0,52.0,1417.0,3598.0,497.0,110440.0,5061.0,15782.0,983.0,19686.0,2495.0
01.10.2008,259452.0,67182.0,24320.0,3778.0,53.0,15.0,1593.0,3861.0,515.0,114595.0,5220.0,13164.0,1100.0,18539.0,2396.0
01.11.2008,231685.0,60709.0,21722.0,3254.0,36.0,26.0,1467.0,3631.0,473.0,96648.0,3886.0,11359.0,883.0,16858.0,1961.0
01.12.2008,247753.0,60852.0,21813.0,3108.0,44.0,39.0,1712.0,3709.0,464.0,106313.0,3840.0,11601.0,899.0,17020.0,2089.0
01.01.2009,245314.0,75206.0,26899.0,2909.0,35.0,39.0,1580.0,4192.0,349.0,82643.0,2679.0,18503.0,830.0,20242.0,3577.0
01.02.2009,252858.0,73960.0,28145.0,2932.0,64.0,75.0,1544.0,3574.0,311.0,87184.0,3117.0,17731.0,770.0,21636.0,3450.0
01.03.2009,291835.0,84060.0,33141.0,3335.0,63.0,50.0,1791.0,3889.0,448.0,99502.0,3503.0,20584.0,865.0,24340.0,4207.0
01.04.2009,257679.0,68411.0,25759.0,3964.0,65.0,23.0,1627.0,3734.0,412.0,98969.0,3923.0,15258.0,854.0,20637.0,3013.0
01.05.2009,252084.0,66671.0,24871.0,6289.0,80.0,24.0,1517.0,3663.0,435.0,97668.0,4494.0,16395.0,845.0,18892.0,2978.0
01.06.2009,274793.0,72535.0,29545.0,6268.0,65.0,55.0,1553.0,3479.0,535.0,104889.0,5001.0,20666.0,882.0,20995.0,3415.0
01.07.2009,247575.0,63071.0,25305.0,4080.0,52.0,67.0,1401.0,3573.0,515.0,107555.0,5011.0,13135.0,857.0,19588.0,2228.0
01.08.2009,242452.0,61546.0,25486.0,3660.0,40.0,36.0,1271.0,3580.0,503.0,104364.0,6398.0,14260.0,703.0,20176.0,2262.0
01.09.2009,256384.0,66197.0,27676.0,3708.0,49.0,58.0,1421.0,3513.0,552.0,105522.0,3330.0,17275.0,801.0,21159.0,2670.0
01.10.2009,242002.0,60314.0,24096.0,3845.0,53.0,19.0,1273.0,3386.0,487.0,109331.0,4886.0,12028.0,744.0,18158.0,2048.0
01.11.2009,211689.0,52573.0,21128.0,3111.0,45.0,31.0,1327.0,3256.0,375.0,92309.0,3554.0,10942.0,608.0,16621.0,2057.0
01.12.2009,220155.0,51680.0,22939.0,2506.0,43.0,71.0,1376.0,3273.0,476.0,98638.0,3392.0,11946.0,715.0,16079.0,2344.0
01.01.2010,213777.0,64720.0,25344.0,2350.0,38.0,64.0,1287.0,3448.0,333.0,72533.0,2192.0,16591.0,503.0,19164.0,3520.0
01.02.2010,223452.0,63490.0,26485.0,2788.0,45.0,40.0,1328.0,2868.0,380.0,82022.0,2857.0,16002.0,541.0,19840.0,2976.0
01.03.2010,257875.0,72816.0,30109.0,2653.0,61.0,52.0,1490.0,3483.0,422.0,93511.0,3238.0,20143.0,696.0,22669.0,3721.0
01.04.2010,226971.0,59800.0,24083.0,3340.0,31.0,33.0,1430.0,3487.0,436.0,92430.0,3976.0,14610.0,719.0,19344.0,2675.0
01.05.2010,221734.0,57205.0,23559.0,4791.0,53.0,52.0,1372.0,3500.0,442.0,94105.0,4371.0,14010.0,652.0,17565.0,2592.0
01.06.2010,232980.0,60592.0,26096.0,4681.0,59.0,129.0,1287.0,3207.0,495.0,97503.0,5029.0,16541.0,631.0,19683.0,2900.0
01.07.2010,210818.0,51909.0,21576.0,3269.0,38.0,43.0,1253.0,3339.0,451.0,97647.0,4639.0,10125.0,574.0,17616.0,1872.0
01.08.2010,217460.0,54763.0,23414.0,3541.0,63.0,37.0,1277.0,3372.0,501.0,100286.0,4659.0,9744.0,586.0,18515.0,2032.0
01.09.2010,220874.0,57129.0,25041.0,3617.0,66.0,60.0,1199.0,3119.0,444.0,97117.0,4824.0,11833.0,585.0,19065.0,2340.0
01.10.2010,211816.0,53793.0,22575.0,3141.0,37.0,39.0,1148.0,3278.0,351.0,98917.0,4711.0,10300.0,593.0,17131.0,1798.0
01.11.2010,200369.0,47251.0,21297.0,2960.0,48.0,48.0,1256.0,3322.0,369.0,92136.0,3923.0,9651.0,573.0,16762.0,1868.0
01.12.2010,190673.0,40879.0,20439.0,2024.0,42.0,59.0,1236.0,3322.0,283.0,90162.0,3168.0,10531.0,566.0,15210.0,2134.0
01.01.2011,186489.0,54159.0,22959.0,1761.0,41.0,35.0,1312.0,3547.0,291.0,68416.0,2224.0,13907.0,461.0,17743.0,2845.0
01.02.2011,198122.0,54774.0,24760.0,1958.0,71.0,52.0,1186.0,3065.0,304.0,74340.0,2661.0,14226.0,478.0,18841.0,3078.0
01.03.2011,231944.0,62832.0,28560.0,2097.0,85.0,69.0,1420.0,3497.0,333.0,87859.0,3302.0,16920.0,482.0,21153.0,3595.0
01.04.2011,207259.0,52825.0,24317.0,2333.0,45.0,57.0,1272.0,3289.0,326.0,86693.0,3715.0,13584.0,490.0,18379.0,2533.0
01.05.2011,209116.0,51426.0,24159.0,3984.0,66.0,67.0,1262.0,3408.0,364.0,90652.0,4679.0,12930.0,524.0,17767.0,2395.0
01.06.2011,213958.0,53158.0,26285.0,3167.0,62.0,66.0,1192.0,3067.0,371.0,92482.0,5073.0,13618.0,547.0,18515.0,2637.0
01.07.2011,191989.0,46183.0,22370.0,2355.0,41.0,42.0,1096.0,3091.0,671.0,90290.0,5329.0,10299.0,486.0,16363.0,1637.0
01.08.2011,207550.0,50711.0,25134.0,2368.0,38.0,43.0,1168.0,3360.0,510.0,95610.0,5395.0,10876.0,508.0,18751.0,2026.0
01.09.2011,203673.0,50581.0,25259.0,2385.0,55.0,37.0,1052.0,3078.0,431.0,91482.0,5160.0,11710.0,432.0,18409.0,2157.0
01.10.2011,202390.0,50012.0,25011.0,2631.0,60.0,38.0,1161.0,3091.0,409.0,94637.0,5288.0,10881.0,491.0,18205.0,1691.0
01.11.2011,178876.0,41729.0,21528.0,2041.0,12.0,55.0,1041.0,2980.0,452.0,81845.0,3795.0,9323.0,386.0,15784.0,1777.0
01.12.2011,173441.0,39117.0,20747.0,2071.0,46.0,58.0,1143.0,3039.0,339.0,84260.0,3658.0,9194.0,350.0,15304.0,1763.0
01.01.2012,175581.0,51186.0,24796.0,1744.0,44.0,36.0,1252.0,3482.0,342.0,66771.0,2568.0,13418.0,373.0,18669.0,2364.0
01.02.2012,187909.0,51123.0,26031.0,2096.0,57.0,68.0,1161.0,3050.0,288.0,72193.0,2928.0,14669.0,369.0,20275.0,2946.0
01.03.2012,209747.0,57560.0,30506.0,2022.0,64.0,70.0,1240.0,3306.0,378.0,79071.0,3429.0,18314.0,408.0,21119.0,2957.0
01.04.2012,188804.0,46724.0,24076.0,2063.0,54.0,73.0,1200.0,3287.0,348.0,78955.0,3827.0,13412.0,489.0,18417.0,2301.0
01.05.2012,203025.0,50478.0,25423.0,3458.0,64.0,69.0,1257.0,3262.0,475.0,87070.0,5079.0,14777.0,479.0,18290.0,2424.0
01.06.2012,202979.0,49915.0,27084.0,2839.0,80.0,75.0,1040.0,2922.0,487.0,87134.0,5503.0,16028.0,440.0,18207.0,2464.0
01.07.2012,188732.0,44949.0,25072.0,2308.0,69.0,56.0,959.0,3190.0,470.0,87694.0,5629.0,11821.0,457.0,17032.0,1664.0
01.08.2012,198067.0,48307.0,27963.0,2406.0,31.0,61.0,1098.0,3088.0,450.0,91052.0,5827.0,12481.0,439.0,19035.0,1711.0
01.09.2012,191159.0,45562.0,25873.0,2308.0,39.0,64.0,962.0,2666.0,398.0,85701.0,5265.0,13221.0,398.0,18006.0,2311.0
01.10.2012,207050.0,48857.0,27219.0,2454.0,36.0,35.0,1106.0,3148.0,369.0,97582.0,5473.0,13282.0,443.0,18853.0,1732.0
01.11.2012,183011.0,40049.0,22955.0,2046.0,46.0,63.0,1028.0,2927.0,270.0,81851.0,3845.0,11829.0,476.0,16081.0,1838.0
01.12.2012,166104.0,35094.0,21761.0,1839.0,53.0,26.0,962.0,2763.0,211.0,77164.0,3580.0,8717.0,384.0,14990.0,1765.0
01.01.2013,175845.0,49444.0,20866.0,1525.0,32.0,48.0,1175.0,3274.0,258.0,64817.0,2669.0,14606.0,346.0,19212.0,2552.0
01.02.2013,185422.0,48892.0,19367.0,1810.0,70.0,82.0,1103.0,2926.0,296.0,70373.0,3119.0,15086.0,373.0,19687.0,3037.0
01.03.2013,195578.0,50894.0,20192.0,1689.0,43.0,97.0,1202.0,3075.0,361.0,72720.0,3199.0,17135.0,355.0,20513.0,2988.0
01.04.2013,186284.0,44762.0,25472.0,1881.0,51.0,83.0,1070.0,2889.0,436.0,76706.0,3898.0,14735.0,390.0,18996.0,2479.0
01.05.2013,184408.0,44003.0,52697.0,2693.0,49.0,73.0,1107.0,3045.0,420.0,78044.0,5020.0,13106.0,418.0,18001.0,2194.0
01.06.2013,189718.0,44731.0,57662.0,2656.0,41.0,93.0,959.0,2742.0,415.0,79663.0,5212.0,15229.0,446.0,18403.0,2389.0
01.07.2013,186435.0,43801.0,52765.0,2097.0,52.0,100.0,967.0,2924.0,409.0,83473.0,5641.0,11719.0,425.0,19218.0,1873.0
01.08.2013,185945.0,43419.0,52630.0,2188.0,56.0,75.0,944.0,2891.0,392.0,82753.0,5384.0,12720.0,398.0,19803.0,1836.0
01.09.2013,180675.0,42715.0,53294.0,2118.0,63.0,87.0,912.0,2566.0,325.0,78570.0,5008.0,12832.0,394.0,20480.0,2110.0
01.10.2013,197047.0,48425.0,62829.0,2175.0,59.0,99.0,969.0,2927.0,355.0,87536.0,5343.0,14155.0,482.0,22545.0,1811.0
01.11.2013,171224.0,39375.0,50731.0,2165.0,60.0,46.0,960.0,2720.0,343.0,72846.0,3719.0,11913.0,454.0,17811.0,1897.0
01.12.2013,167668.0,37203.0,60896.0,1731.0,85.0,63.0,993.0,2807.0,236.0,75061.0,3442.0,11393.0,369.0,16793.0,1799.0
01.01.2014,165415.0,45620.0,47398.0,1335.0,54.0,75.0,1172.0,3202.0,317.0,60140.0,2478.0,13304.0,298.0,20414.0,2511.0
01.02.2014,174968.0,46133.0,50461.0,1677.0,90.0,103.0,1030.0,2736.0,271.0,64220.0,2972.0,14953.0,332.0,20540.0,2877.0
01.03.2014,193769.0,48257.0,59122.0,1888.0,115.0,92.0,1103.0,2945.0,275.0,71940.0,3475.0,16762.0,333.0,22127.0,2973.0
01.04.2014,186071.0,44134.0,56883.0,2198.0,69.0,112.0,1032.0,2875.0,289.0,76107.0,4225.0,13665.0,339.0,21017.0,2440.0
01.05.2014,184021.0,43368.0,57685.0,3034.0,96.0,79.0,1000.0,2803.0,340.0,77482.0,4817.0,12406.0,381.0,19896.0,2325.0
01.06.2014,187215.0,42870.0,60838.0,2598.0,114.0,98.0,1053.0,2714.0,392.0,80086.0,5054.0,12839.0,397.0,20238.0,2426.0
01.07.2014,188445.0,44982.0,62562.0,2088.0,95.0,79.0,937.0,2693.0,482.0,83072.0,5125.0,12237.0,350.0,22786.0,1753.0
01.08.2014,185285.0,45102.0,61956.0,2161.0,77.0,77.0,935.0,2643.0,427.0,81141.0,5054.0,11949.0,356.0,23390.0,1946.0
01.09.2014,188685.0,47419.0,73654.0,2301.0,65.0,79.0,937.0,2496.0,331.0,79989.0,4979.0,12668.0,346.0,22868.0,1991.0
01.10.2014,200332.0,49419.0,71417.0,2544.0,128.0,89.0,953.0,2763.0,330.0,88095.0,5064.0,15322.0,347.0,25187.0,1864.0
01.11.2014,162384.0,36971.0,51542.0,1781.0,103.0,64.0,896.0,2410.0,312.0,68912.0,3415.0,11716.0,264.0,17661.0,1640.0
01.12.2014,173988.0,37113.0,79972.0,1961.0,122.0,87.0,885.0,2619.0,397.0,77717.0,3517.0,12393.0,279.0,18606.0,1719.0
01.01.2015,164424.0,43986.0,53141.0,1416.0,90.0,93.0,1156.0,2959.0,267.0,61153.0,2342.0,12008.0,264.0,20989.0,2395.0
01.02.2015,180711.0,46035.0,60929.0,1701.0,198.0,102.0,978.0,2437.0,252.0,68815.0,2828.0,14037.0,306.0,21817.0,2561.0
01.03.2015,205868.0,51584.0,70919.0,1963.0,125.0,138.0,1015.0,2625.0,318.0,79941.0,3379.0,16912.0,305.0,23676.0,2937.0
01.04.2015,196674.0,45452.0,67299.0,2172.0,123.0,158.0,1012.0,2591.0,292.0,82366.0,3723.0,15733.0,304.0,20624.0,2500.0
01.05.2015,190618.0,41839.0,66929.0,3013.0,128.0,127.0,1018.0,2648.0,358.0,83572.0,3978.0,13802.0,261.0,18933.0,2253.0
01.06.2015,210057.0,44977.0,73848.0,2589.0,93.0,133.0,947.0,2517.0,367.0,91649.0,4368.0,16866.0,303.0,19746.0,2611.0
01.07.2015,204320.0,42384.0,74601.0,2098.0,139.0,90.0,903.0,2463.0,353.0,92776.0,4615.0,16038.0,277.0,19416.0,2083.0
01.08.2015,209971.0,42361.0,75518.0,1986.0,139.0,103.0,848.0,2523.0,384.0,93373.0,4169.0,17258.0,261.0,19450.0,1982.0
01.09.2015,215295.0,42857.0,76780.0,1885.0,114.0,98.0,853.0,2210.0,403.0,94057.0,4159.0,19896.0,278.0,19561.0,2047.0
01.10.2015,230464.0,47279.0,87941.0,2235.0,248.0,83.0,978.0,2478.0,367.0,102561.0,4514.0,23587.0,238.0,21124.0,1824.0
01.11.2015,188244.0,35279.0,60481.0,1719.0,163.0,80.0,895.0,2286.0,294.0,81583.0,3117.0,16264.0,273.0,15585.0,2198.0
01.12.2015,191830.0,35622.0,69896.0,2079.0,206.0,87.0,893.0,2430.0,281.0,86605.0,3374.0,18197.0,248.0,16018.0,1929.0
01.01.2016,171920.0,41293.0,58831.0,1293.0,153.0,88.0,993.0,2599.0,209.0,64894.0,1979.0,16078.0,147.0,18026.0,2317.0
01.02.2016,198414.0,46103.0,68641.0,1835.0,286.0,132.0,960.0,2539.0,510.0,75674.0,2527.0,18446.0,257.0,20044.0,2881.0
01.03.2016,216768.0,48343.0,75558.0,2009.0,268.0,170.0,1000.0,2485.0,386.0,82307.0,2715.0,21624.0,258.0,21616.0,3098.0
01.04.2016,199934.0,40999.0,70468.0,1978.0,186.0,150.0,949.0,2449.0,264.0,82757.0,3259.0,19943.0,254.0,16727.0,2501.0
01.05.2016,194949.0,36357.0,69437.0,2694.0,142.0,142.0,909.0,2566.0,314.0,83410.0,3304.0,16959.0,250.0,13333.0,2405.0
01.06.2016,200466.0,37368.0,71792.0,2464.0,278.0,148.0,868.0,2191.0,352.0,84826.0,3293.0,18947.0,263.0,13647.0,2572.0
01.07.2016,154547.0,34925.0,61982.0,1859.0,152.0,78.0,834.0,2206.0,350.0,66115.0,3273.0,13570.0,208.0,14997.0,1844.0
01.08.2016,164687.0,37837.0,63931.0,1746.0,179.0,125.0,842.0,2337.0,383.0,66100.0,3323.0,14686.0,233.0,17671.0,2079.0
01.09.2016,165220.0,34808.0,62980.0,1857.0,150.0,128.0,699.0,1988.0,312.0,67075.0,3324.0,15783.0,183.0,17428.0,2523.0
01.10.2016,184569.0,41605.0,74397.0,2608.0,143.0,90.0,826.0,2236.0,195.0,77125.0,3411.0,19839.0,194.0,19414.0,1759.0
01.11.2016,155247.0,30029.0,51110.0,1576.0,157.0,107.0,792.0,1950.0,257.0,60100.0,2229.0,16034.0,212.0,13771.0,2010.0
01.12.2016,153342.0,28112.0,60852.0,1769.0,133.0,92.0,772.0,1896.0,361.0,60701.0,2211.0,17017.0,138.0,14491.0,2005.0
01.01.2017,157053.0,36238.0,53170.0,1338.0,124.0,113.0,932.0,2479.0,207.0,52420.0,1585.0,16489.0,151.0,15922.0,2329.0
01.02.2017,150844.0,36148.0,54885.0,1737.0,155.0,134.0,819.0,2016.0,227.0,53502.0,1881.0,16912.0,155.0,16962.0,3530.0
01.03.2017,187310.0,43543.0,67743.0,1901.0,228.0,174.0,943.0,2252.0,322.0,66396.0,2385.0,21309.0,182.0,20866.0,3061.0
01.04.2017,170774.0,37824.0,60669.0,1786.0,199.0,136.0,892.0,2074.0,262.0,64516.0,2350.0,17871.0,194.0,17455.0,2370.0
01.05.2017,179808.0,37639.0,64371.0,2559.0,183.0,145.0,907.0,2099.0,437.0,69995.0,2782.0,17813.0,194.0,17049.0,2558.0
01.06.2017,184404.0,38375.0,65938.0,2569.0,237.0,146.0,751.0,1945.0,482.0,70478.0,2882.0,19596.0,202.0,17349.0,2492.0
01.07.2017,171003.0,35574.0,63662.0,1845.0,139.0,110.0,765.0,2118.0,447.0,69279.0,2763.0,16702.0,157.0,17236.0,2149.0
01.08.2017,177656.0,36820.0,67215.0,2004.0,129.0,113.0,804.0,2108.0,334.0,71098.0,2852.0,17700.0,197.0,17917.0,2089.0
